Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,Yes,Travel_Rarely,1393,Research & Development,17,4,Other,1,1,4,Male,99,4,3,Research Director,3,Married,6212,8114,8,Y,Yes,20,3,2,80,0,30,1,2,4,4,4,0
46,No,Travel_Rarely,860,Research & Development,20,3,Other,1,2,4,Male,76,1,3,Manager,4,Single,5127,21448,5,Y,No,13,3,3,80,3,25,4,3,14,14,0,14
32,No,Travel_Rarely,472,Sales,1,2,Marketing,1,3,1,Male,42,1,2,Research Scientist,3,Married,9071,8517,0,Y,Yes,25,3,2,80,3,25,4,4,25,12,14,2
60,No,Travel_Rarely,400,Research & Development,11,5,Other,1,4,3,Female,37,1,2,Research Scientist,4,Married,3908,5877,1,Y,No,19,3,3,80,2,5,4,1,5,5,4,5
25,No,Travel_Frequently,890,Research & Development,11,4,Technical Degree,1,5,4,Male,34,3,1,Research Director,1,Married,9770,22920,2,Y,No,13,4,4,80,0,4,3,2,4,4,4,4
38,Yes,Travel_Frequently,846,Research & Development,16,5,Human Resources,1,6,4,Female,97,1,5,Manufacturing Director,4,Single,6503,20046,1,Y,No,24,3,2,80,1,33,2,3,24,18,7,0
56,Yes,Travel_Rarely,761,Sales,24,5,Medical,1,7,4,Male,64,3,1,Research Director,2,Married,15196,2232,4,Y,Yes,17,3,4,80,2,38,4,2,33,1,11,14
36,No,Travel_Rarely,661,Research & Development,6,3,Marketing,1,8,4,Male,44,3,3,Human Resources,3,Married,16493,14904,9,Y,No,22,4,3,80,2,39,3,3,27,9,12,0
40,No,Travel_Rarely,802,Research & Development,15,1,Marketing,1,9,1,Female,64,2,3,Manager,1,Single,11434,17884,5,Y,No,23,3,3,80,3,31,2,4,10,10,6,10
28,No,Travel_Rarely,1310,Research & Development,19,4,Technical Degree,1,10,4,Male,62,2,3,Human Resources,4,Divorced,14428,9843,3,Y,No,19,3,4,80,2,4,2,2,4,4,4,4
28,No,Travel_Rarely,1027,Research & Development,27,2,Technical Degree,1,11,3,Male,69,2,5,Manager,1,Divorced,15922,25861,9,Y,No,15,3,4,80,2,9,0,2,9,9,9,0
41,No,Non-Travel,289,Research & Development,10,2,Technical Degree,1,12,2,Female,97,4,4,Laboratory Technician,3,Single,2709,25470,0,Y,No,24,3,4,80,3,25,2,1,10,7,6,10
53,Yes,Travel_Rarely,111,Human Resources,7,1,Technical Degree,1,13,3,Male,89,3,3,Research Director,2,Married,2826,6398,9,Y,No,12,3,3,80,1,0,4,3,0,0,0,0
